2019.12.09 06:59:48 INFO  es[][o.e.n.Node] initializing ...
2019.12.09 06:59:49 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/xvda1)]], net usable_space [16.2gb], net total_space [30.9gb], spins? [possibly], types [ext4]
2019.12.09 06:59:49 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2019.12.09 06:59:49 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [iCXm7z3UTGiZE1e9MvVFww]
2019.12.09 06:59:49 INFO  es[][o.e.n.Node] version[5.6.3], pid[33], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Linux/4.4.0-1099-aws/amd64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/1.8.0_162/25.162-b12]
2019.12.09 06:59:49 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2019.12.09 06:59:55 INFO  es[][o.e.p.PluginsService] no plugins loaded
2019.12.09 07:00:08 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2019.12.09 07:00:10 INFO  es[][o.e.n.Node] initialized
2019.12.09 07:00:10 INFO  es[][o.e.n.Node] starting ...
2019.12.09 07:00:11 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2019.12.09 07:00:11 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2019.12.09 07:00:14 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{iCXm7z3UTGiZE1e9MvVFww}{h-hvrviyQza461uAMV06Zw}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2019.12.09 07:00:14 INFO  es[][o.e.n.Node] started
2019.12.09 07:00:16 INFO  es[][o.e.g.GatewayService] recovered [8] indices into cluster_state
2019.12.09 07:00:19 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
